Customer_ID,Average_Wallet_Balance_(INR),Avg recharge value_(INR),Customer_Age,Gender,Income,City,Avg_transaction_amount_for_bill_payments_(INR),Avg_amount_of_Retail_e-commerce_payments_(INR),Average_duration_of_each_session_in_Min,Average_Transfer_Amount_(INR),No._of_P2P_transfers in a month,Average_Withdrawal_amount_(INR),CIBIL_Score,Automatic_payment_enabled,Max_Transaction_Amount_(INR),Avg_Spend_Per_Month,Automatic_payments_total_amount,Wallet_activated_at,Last_Activity_Date,"high_risk vs low_risk (1= High risk, 0= Low risk)"
CI108610,4639.86,1333.62,46,F,5L-10L,Tier 3,2824.14,3300,1,3450,10,1598.14,837,No,9054,6630.14,2729,42713,44502,0
CI299621,1214.42,575.42,19,F,5L-10L,Tier 1,2911.99,700,2.01,1300,5,1315.83,965,No,9073,4117.99,3388,43385,44501,0
CI803181,3350.73,903.91,48,F,<5L,Tier 2,777.36,850,4.01,1400,2,733.17,863,No,6626,2133.36,2629,43911,44478,0
CI960718,2085.37,1446.37,59,F,10L-20L,Tier 1,406.74,3850,1,1400,1,1369.98,848,No,3925,4762.74,2458,42960,44485,0
CI273054,3169.23,843.41,67,F,<5L,Tier 2,1099.72,250,1,1150,6,613.94,744,No,2750,1855.72,2705,43993,44477,0
CI914338,3246.24,651.81,29,F,<5L,Tier 1,2182.09,550,4.01,1350,4,643.76,529,No,2065,3238.09,3924,43488,44426,0
CI437867,1010.67,371.67,58,F,>20L,Tier 2,537.75,950,4.01,1450,7,606.73,626,No,718,1993.75,1450,42827,44481,0
CI412994,2368.534,1233.31,64,F,>20L,Tier 1,794.9,478,2.01,1630,1,1340.53,409,Yes,12375,1877.9,3265,43479,44494,1
CI267734,4964.49,1441.83,22,F,<5L,Tier 3,284.09,400,3.01,1100,10,1575.18,560,No,6082,1190.09,4000,43522,44468,0
CI947849,1908.33,423.11,19,F,10L-20L,Tier 2,1644.2,800,2.01,1350,10,702.5,477,No,7938,2950.2,3471,43674,44472,0
CI428627,976.01,337.01,19,M,<5L,Tier 1,2339.93,700,3.01,1450,1,1765.51,885,No,2302,3545.93,1736,43712,44455,0
CI378642,1555.63,916.63,38,U,5L-10L,Tier 2,1598.07,250,1.01,1050,3,762.85,910,No,4426,2354.07,1357,42946,44499,0
CI282084,4614.92,993.98,19,F,<5L,Tier 1,281.41,1350,2,1300,8,778.9,744,Yes,10285,2137.41,222,42865,44448,0
CI193114,1522.84,883.84,56,F,5L-10L,Tier 2,598.61,900,2.01,1300,10,1628.92,451,No,12344,2004.61,2073,42801,44485,0
CI693956,3898.552,1104.59,56,F,<5L,Tier 2,665.56,2738,1.01,1121,8,1067.07,413,No,12235,4013.56,2911,44167,44438,1
CI300399,1942.52,651.76,55,M,<5L,Tier 1,1824.38,800,4.01,1000,2,958.05,522,Yes,3314,3130.38,2177,44382,44437,0
CI269829,1217.91,192.97,63,M,<5L,Tier 2,2476.4,4400,4.01,800,1,1342.73,372,Yes,970,7382.4,2091,43456,44461,0
CI997294,2029.68,695.34,43,F,<5L,Tier 2,1448.45,350,1,1200,4,1088.36,920,Yes,10168,2304.45,2066,43708,44425,0
CI717616,1009.98,123.66,23,F,>20L,Tier 1,3087.12,950,3,1250,5,1546.24,588,No,4810,4543.12,526,43188,44478,0
CI808138,860.2,110.6,45,M,>20L,Tier 2,3112.14,550,1,1100,9,935.05,705,No,2047,4168.14,1217,44097,44441,0
CI829569,3041.94,800.98,44,U,10L-20L,Tier 2,418.75,450,4,1000,7,927.61,533,No,9804,1374.75,3746,44197,44451,0
CI728531,998.57,359.57,54,M,>20L,Tier 1,2654.93,950,3,3650,3,770.36,717,No,8074,4110.93,3663,42844,44478,0
CI464280,1813.32,293.58,30,U,<5L,Tier 1,2259.52,2950,1.01,1250,7,868.68,564,No,12338,5715.52,2508,44253,44491,0
CI592008,5901.64,1315.66,38,F,<5L,Tier 1,2627.97,3700,3.01,1400,3,1136.75,910,No,7324,6833.97,3124,43227,44497,0
CI490014,3951.45,1104.15,62,U,5L-10L,Tier 1,383.79,300,1.01,1450,4,831.88,997,No,6363,1189.79,642,43570,44473,0
CI249802,4772.28,1033.32,62,M,<5L,Tier 2,1802.77,650,4.01,1150,9,1743.35,575,No,9327,2958.77,1506,43899,44435,0
CI672201,1841.76,400.92,36,M,<5L,Tier 2,3293.77,750,1,1250,4,1695.11,901,No,11656,4549.77,2289,43570,44493,0
CI231749,1021.66,191.33,65,M,10L-20L,Tier 2,2208.01,250,2.01,1000,3,1128.85,814,No,7395,2964.01,1298,43328,44453,0
CI834595,4042.12,850.78,51,F,5L-10L,Tier 1,1362.6,950,3.01,1350,1,653.44,524,Yes,2698,2818.6,3621,44142,44474,0
CI465393,5999.68,1340.17,56,U,10L-20L,Tier 2,2932.36,1250,3.01,1150,2,993.32,534,No,1807,4688.36,3442,43149,44474,0
CI545918,2268.46,814.73,57,U,5L-10L,Tier 3,2869.14,550,3,1350,4,1206.53,466,No,11357,3925.14,2566,44243,44472,0
CI474988,2882.8,1121.9,46,M,<5L,Tier 3,2816.8,800,1,1150,9,1122.9,828,Yes,5237,4122.8,2261,43740,44431,0
CI294730,4335.12,924.03,48,F,5L-10L,Tier 1,3185.9,300,3,1100,6,1338.84,927,No,7339,3991.9,1303,43609,44464,0
CI506788,2105.27,1466.27,69,M,>20L,Tier 1,2933.21,650,3,1350,8,1109.26,840,No,9737,4089.21,1482,43621,44444,0
CI884627,5170,1132.75,18,F,5L-10L,Tier 1,291.33,650,3.01,1050,7,1614.04,572,Yes,9083,1447.33,2829,44001,44454,0
CI446749,1368.3,729.3,39,F,<5L,Tier 1,1171.57,900,2,1350,5,756.46,717,No,3462,2577.57,2423,44396,44478,0
CI992403,884.016,-9.03,6,F,10L-20L,Tier 2,383.05,632,1.01,1205,9,1155.09,901,No,7362,1577.05,983,44465,44475,1
CI498201,2087.82,1448.82,44,M,<5L,Tier 2,1863.44,850,3.01,1050,4,1344.33,681,Yes,4826,3219.44,3654,44360,44471,0
CI793962,1880.28,413.76,55,F,<5L,Tier 1,985.52,750,3,1300,6,1244.28,447,Yes,6811,2241.52,2687,43167,44509,0
CI299237,1628.07,329.69,54,F,5L-10L,Tier 2,482.47,850,1,1100,1,1011.18,988,No,7732,1838.47,1067,43635,44447,0
CI134652,3188.08,1274.54,49,U,5L-10L,Tier 2,3095.88,2900,3,1350,9,1066.47,783,No,1071,6501.88,1577,44439,44449,0
CI776733,1256.115,965.45,63,F,<5L,Tier 1,3027.1,994,3,1637,1,1850.62,516,No,8593,4575.1,705,44186,44504,1
CI130719,6327.72,1422.18,43,M,<5L,Tier 2,1776.89,250,2,1400,3,982.65,890,No,4696,2532.89,2646,43068,44464,0
CI388609,2175,768,27,U,5L-10L,Tier 1,304.92,2400,4.01,1150,6,1436.48,674,No,1886,3210.92,3983,43350,44502,0
CI145572,5995,1339,45,F,5L-10L,Tier 1,3286.28,400,4.01,1250,5,1497.6,557,Yes,505,4192.28,1049,43345,44452,0
CI847161,3566.42,1463.71,32,F,10L-20L,Tier 1,2436.16,400,3.01,1250,10,1059.58,868,No,12211,3342.16,3131,43023,44501,0
CI669556,2110.72,367.93,19,M,5L-10L,Tier 2,105.22,800,4,1250,7,797.17,917,No,1322,1411.22,310,43610,44497,0
CI712028,1546.24,907.24,21,U,5L-10L,Tier 1,421.1,550,2,1400,7,1545.93,885,No,8924,1477.1,1775,43839,44432,0
CI103786,1606.18,483.59,30,F,5L-10L,Tier 1,643.45,350,2,1400,4,984.28,517,No,6404,1499.45,1601,44039,44451,0
CI585116,976.86,112.62,64,F,>20L,Tier 2,2480.26,1550,1,1250,8,1155.33,723,No,6144,4536.26,4223,43356,44422,0
CI718875,2338.16,849.58,25,M,<5L,Tier 1,2159.65,350,2.01,1050,1,779.2,634,Yes,5394,3015.65,2463,44000,44434,0
CI413432,1102.38,154.46,62,M,<5L,Tier 2,999.66,650,1,1200,6,1504.51,413,No,10746,2155.66,3763,43029,44503,0
CI681828,6064.48,1356.37,39,M,<5L,Tier 1,1613.58,850,2.01,1450,1,1662.81,612,No,2802,2969.58,3880,42741,44506,0
CI202640,1989.75,1350.75,61,F,5L-10L,Tier 1,3090.01,500,1.01,1300,7,1508.77,427,Yes,497,4096.01,2712,43557,44450,0
CI392804,4166.04,1175.68,22,F,10L-20L,Tier 1,1003.14,450,2.01,1050,6,1743.45,504,No,9173,1959.14,1961,43301,44468,0
CI716096,1223.98,292.49,28,F,<5L,Tier 1,1681.91,700,2,1100,10,1045.33,521,No,5250,2887.91,1682,43514,44464,0
CI637559,3719.46,1026.82,43,M,10L-20L,Tier 1,2064.34,600,2,1400,9,1689.28,984,No,6666,3170.34,3892,44076,44486,0
CI810563,864.14,112.57,65,M,10L-20L,Tier 3,2325.86,700,2.01,1150,10,1538.85,834,Yes,2130,3531.86,2220,42726,44440,0
CI244853,1040.37,133.79,55,F,<5L,Tier 2,1235.98,900,1,3700,6,1622.6,711,Yes,12963,2641.98,3467,44259,44506,0
CI860850,3758.37,1039.79,40,F,10L-20L,Tier 2,1605.19,900,4.01,1250,2,1070.91,727,No,8462,3011.19,4427,44382,44444,0
CI371325,850.03,211.03,28,M,<5L,Tier 2,2415.82,300,2.01,1400,3,1011.95,967,No,6853,3221.82,1001,44014,44426,0
CI175876,1959.02,660.01,42,M,>20L,Tier 1,103.81,600,2,1300,3,720.28,621,Yes,4744,1209.81,4201,43730,44433,0
CI893512,946.58,153.79,57,M,>20L,Tier 1,1997.63,400,2.01,1100,8,1120.78,580,No,12708,2903.63,1657,43757,44482,0
CI610605,1342.02,351.51,52,F,10L-20L,Tier 2,352.18,700,4,1200,5,1578.8,495,Yes,3580,1558.18,2249,43105,44443,0
CI694769,4361.19,1240.73,49,F,>20L,Tier 2,2087.99,850,2.01,1050,8,872.73,1051,No,5945,3443.99,4206,42782,44442,0
CI558613,1397.34,143.3,46,M,<5L,Tier 1,2044.48,388,3,1503,1,1019.4,375,No,11879,3042.48,4463,43348,44503,1
CI860193,2752.14,704.38,35,M,5L-10L,Tier 1,1824.16,4150,4.01,4600,9,1037.5,896,No,2719,6480.16,2494,44320,44450,0
CI745046,1454.44,407.72,33,M,5L-10L,Tier 1,2716.09,600,2,950,7,866.65,461,No,650,3822.09,4097,43401,44509,0
CI313951,943.5,304.5,36,U,10L-20L,Tier 1,979.5,250,2,4800,4,666.29,603,No,7841,1735.5,3913,44046,44436,0
CI661765,2425.892,560.64,25,F,>20L,Tier 2,3233.3,918,2,1439,1,1378.36,504,No,6698,4764.3,3903,43841,44434,1
CI883204,2228.758,1090.47,48,F,10L-20L,Tier 2,1838.46,761,1,1380,3,851.6,573,No,8430,3191.46,2250,42956,44507,1
CI991140,1104.64,465.64,47,F,10L-20L,Tier 2,1735.19,900,3,1000,8,1473.37,757,Yes,2039,3141.19,3307,43143,44462,0
CI948110,2141.72,375.68,23,M,10L-20L,Tier 1,1518.79,2000,4.01,1400,10,1283.74,640,Yes,12536,4024.79,458,43548,44429,0
CI772544,1075.45,436.45,69,F,10L-20L,Tier 1,2215.77,3850,3,4500,2,1171.57,806,Yes,10490,6571.77,3676,43228,44478,0
CI878897,2259.2,810.1,63,M,<5L,Tier 1,1120.34,350,2.01,1050,10,607.07,522,No,6405,1976.34,3165,44394,44499,0
CI804017,6418.52,1444.88,60,F,<5L,Tier 1,1460.63,350,1,1450,8,1434.82,717,No,7852,2316.63,2434,43290,44429,0
CI595580,4592.58,1317.86,55,F,>20L,Tier 2,2206.48,500,4.01,1200,8,781.48,1034,Yes,11057,3212.48,4441,42892,44486,0
CI545627,1826.43,395.81,40,F,<5L,Tier 1,2987.69,850,3.01,2400,2,1433.57,955,Yes,8626,4343.69,2062,44478,44492,0
CI606899,1314.7,675.7,65,F,<5L,Tier 1,1442.69,500,1.01,1350,6,1142.94,490,No,3150,2448.69,258,43953,44449,0
CI164297,884.28,245.28,21,F,5L-10L,Tier 1,1588.95,450,1,550,2,871.54,903,No,12471,2544.95,3017,44345,44473,0
CI518065,947.52,308.52,18,U,<5L,Tier 1,217.74,900,3,1100,9,1161.72,990,No,5017,1623.74,4276,43991,44464,0
CI569593,3585.84,1473.42,50,M,5L-10L,Tier 2,375.22,850,2.01,1250,2,1259.34,971,No,8132,1731.22,2319,43208,44446,0
CI532476,1040.58,133.86,31,F,<5L,Tier 2,1038,450,3.01,1300,1,1753.26,558,No,10377,1994,1224,44115,44458,0
CI631225,1232.64,197.88,36,F,10L-20L,Tier 1,2696.73,250,1,1450,4,1134.07,910,No,5927,3452.73,589,43498,44507,0
CI515871,1655.28,338.76,57,M,<5L,Tier 1,592.41,250,2.01,1300,5,1166.06,904,Yes,1156,1348.41,2010,43989,44429,0
CI604409,2438.94,899.97,55,F,<5L,Tier 2,738.23,450,3,1350,1,1231.17,846,No,11666,1694.23,4330,44446,44492,0
CI949361,2088.03,483.01,57,U,5L-10L,Tier 2,3073.16,500,1,1350,4,1068.66,621,Yes,5619,4079.16,2603,43754,44499,0
CI994132,2180.4,385.35,23,M,>20L,Tier 2,547.25,3800,1,1400,2,1742.1,764,No,5307,4853.25,2516,44378,44500,0
CI157541,3596.28,1478.64,37,M,<5L,Tier 2,1095.66,950,4.01,1250,1,1100.69,737,Yes,1390,2551.66,203,43909,44455,0
CI681893,1305.84,333.42,37,M,<5L,Tier 1,2951.91,4550,1,1050,9,935.99,865,No,4841,8007.91,1704,42929,44500,0
CI624024,1836.25,1197.25,25,F,10L-20L,Tier 2,1582.26,550,2.01,1150,8,916.78,780,No,12639,2638.26,398,43860,44466,0
CI439531,1253.95,614.95,30,M,>20L,Tier 2,1674.02,700,4.01,1200,8,919.41,993,Yes,9750,2880.02,1193,43492,44426,0
CI984073,3833.2,798.55,67,M,<5L,Tier 1,1744.9,350,4.01,1700,7,1100.51,971,No,2311,2600.9,315,44292,44455,0
CI273190,4032.72,1131.24,63,F,<5L,Tier 1,267.04,600,4.01,1400,8,1530.8,496,Yes,8472,1373.04,2314,43041,44489,0
CI326195,1918.77,932.05,32,M,<5L,Tier 1,3162.53,994,4,1569,9,1451.37,712,No,8806,4672.53,349,44332,44486,1
CI575153,2120.2,370.3,52,F,<5L,Tier 2,1667.87,650,2,1450,7,895.15,454,No,8024,2823.87,3363,43766,44501,0
CI375281,2916.32,1138.66,31,F,10L-20L,Tier 2,1629.43,650,3.01,1450,10,1218.06,444,No,3850,2785.43,1774,43387,44453,0
CI809861,6368.44,1432.36,61,U,<5L,Tier 2,3115.17,900,4,300,6,919.08,808,No,11995,4521.17,3088,42701,44480,0
CI922927,1790.22,383.74,39,F,<5L,Tier 1,2140.62,300,1.01,1200,9,1703.16,418,No,1571,2946.62,1168,44140,44430,0
CI673541,1865.829,552.49,50,M,5L-10L,Tier 1,2433.64,945,4.01,1162,7,1798.97,714,Yes,5795,3912.64,2057,43720,44497,1
CI535117,1573.98,467.49,19,U,10L-20L,Tier 1,595.18,550,1.01,1400,1,1164.21,478,No,9926,1651.18,2050,42727,44463,0
CI450246,4649.6,1002.65,55,M,10L-20L,Tier 2,1325.51,750,1.01,1300,10,1214.21,528,No,8183,2581.51,4213,43995,44493,0
CI691596,3550.56,970.52,23,M,<5L,Tier 1,3156.04,400,4.01,1300,5,1535.15,927,Yes,10163,4062.04,3075,43400,44507,0
CI163185,1898.75,895.75,10,M,10L-20L,Tier 1,1949.72,705,2,1466,9,1875.37,685,No,9920,3248.72,1413,44291,44493,1
CI265264,849.81,210.81,50,M,5L-10L,Tier 1,1881.94,250,1,1300,1,1065.12,642,No,12555,2637.94,4045,43653,44489,0
CI967316,1326.54,343.77,52,M,>20L,Tier 2,2453.28,300,2,1250,7,949.88,805,Yes,9152,3259.28,2940,43261,44428,0
CI788436,3218.46,859.82,31,M,5L-10L,Tier 1,2127.26,750,2,1050,2,1616.06,906,Yes,4820,3383.26,2989,43310,44472,0
CI757185,1245.01,606.01,26,F,>20L,Tier 2,1122.77,650,3,1250,8,946.27,542,No,7979,2278.77,3906,43455,44427,0
CI427740,2599.92,653.64,29,F,<5L,Tier 2,1442.04,250,2,1050,2,1135.33,771,No,7766,2198.04,4438,43193,44462,0
CI144083,1930.96,1291.96,51,U,<5L,Tier 2,261.87,850,3.01,1150,8,1307.03,913,No,7424,1617.87,3654,43259,44472,0
CI334839,1309.99,670.99,32,F,10L-20L,Tier 3,1085.8,950,3.01,1150,9,1164.94,789,No,11208,2541.8,3446,43973,44482,0
CI714254,1259.36,155.09,54,M,<5L,Tier 2,572.69,500,4.01,1300,1,1530.76,648,No,3496,1578.69,439,43867,44423,0
CI378948,2101.06,1462.06,43,F,<5L,Tier 1,3205,650,4.01,1150,1,1052.8,950,No,10563,4361,2898,44428,44495,0
CI101439,3343.1,1352.05,27,M,5L-10L,Tier 2,2023.22,800,3,1000,4,1215.34,997,Yes,3877,3329.22,3131,43048,44496,0
CI857225,4358.37,1239.79,48,M,<5L,Tier 1,3001.09,4100,2.01,1200,1,864.73,512,Yes,2803,7607.09,2581,42835,44422,0
CI676785,2485.52,923.26,39,F,5L-10L,Tier 1,3317.84,2050,4,1100,5,1132.68,542,Yes,6903,5873.84,4287,44121,44427,0
CI283112,1361.34,722.34,36,M,<5L,Tier 2,625.56,900,3,1100,8,1469.8,737,No,5986,2031.56,636,43628,44499,0
CI575918,2850.52,552.88,24,M,<5L,Tier 1,2417.26,550,1.01,1000,10,1221.36,711,No,7036,3473.26,1845,44170,44453,0
CI843991,767.508,43.48,6,M,<5L,Tier 2,468.13,910,3.01,1455,2,1480.09,757,Yes,5778,1929.13,2782,43259,44436,1
CI983977,2355.66,858.33,57,F,10L-20L,Tier 2,2781.36,800,4.01,1350,2,944.76,503,No,8321,4087.36,849,43124,44453,0
CI971502,1870.7,1231.7,34,F,10L-20L,Tier 2,382.44,650,4.01,1050,5,1342.21,912,Yes,5742,1538.44,2689,43708,44442,0
CI227668,2334.68,423.92,58,M,10L-20L,Tier 1,3345.83,500,1,1450,9,1195.42,442,No,4268,4351.83,1271,43391,44478,0
CI861226,5447.52,1202.13,55,F,10L-20L,Tier 1,1325.87,350,1,1750,7,1020.05,452,Yes,9711,2181.87,473,42833,44444,0
CI910644,4227.4,897.1,65,F,<5L,Tier 1,1603.53,850,3,1100,4,1501.18,512,No,12401,2959.53,1559,43790,44456,0
CI866470,2676.72,1018.86,31,M,<5L,Tier 3,3140.06,800,2.01,1000,10,1601.21,576,No,6753,4446.06,1667,43954,44426,0
CI745486,3281.56,660.64,60,M,<5L,Tier 2,1088,500,4,1000,10,737.07,468,No,7312,2094,925,43989,44474,0
CI851360,1223.45,584.45,45,U,<5L,Tier 1,1391.84,650,4.01,1350,6,1013.25,799,No,10811,2547.84,2166,43436,44478,0
CI550423,3280.11,880.37,26,F,<5L,Tier 2,2938.57,250,3,1250,6,720.57,839,No,512,3694.57,3885,43041,44421,0
CI703382,929.94,145.47,49,F,5L-10L,Tier 2,3255.24,750,3,1000,2,1429.64,617,No,12274,4511.24,3801,42755,44499,0
CI633486,1490.84,425.92,66,F,10L-20L,Tier 3,3218.07,500,3,1400,10,796.46,698,No,1998,4224.07,4080,42976,44487,0
CI138601,2826.24,729.08,54,F,>20L,Tier 2,273.53,900,1.01,1000,3,1237.92,686,Yes,11979,1679.53,379,44287,44425,0
CI983611,5442.32,1200.83,60,F,>20L,Tier 1,3098.95,4600,4.01,1200,7,968.51,666,No,5035,8204.95,1021,44156,44506,0
CI345060,3134.76,623.94,45,F,5L-10L,Tier 1,1393.47,500,2,1250,6,1553.82,871,No,12011,2399.47,277,44085,44469,0
CI442557,6517.6,1469.65,51,M,5L-10L,Tier 1,2455.77,500,3.01,1300,7,1393.3,737,No,9258,3461.77,2091,43510,44441,0
CI157332,2349.3,570.1,29,F,5L-10L,Tier 2,483.97,500,2,1300,3,1032.62,807,Yes,5628,1489.97,3404,42731,44474,0
CI784595,3764.6,781.4,24,F,5L-10L,Tier 1,1054.58,750,3,1100,5,743.28,956,No,7096,2310.58,703,43891,44438,0
CI271227,3907.68,1089.56,37,M,<5L,Tier 2,797.27,450,3.01,1350,2,1751.72,451,No,5375,1753.27,4098,44304,44430,0
CI465866,1787.24,1148.24,36,M,5L-10L,Tier 2,631.55,300,4.01,1300,3,1721.86,528,No,11024,1437.55,3942,43626,44455,0
CI668271,1741.56,275.64,26,M,<5L,Tier 1,2901.9,900,2.01,1400,2,1502.93,881,No,1621,4307.9,1780,43482,44494,0
CI767570,2125.36,743.18,39,F,<5L,Tier 2,2673.31,650,2.01,1300,5,800.58,917,No,4609,3829.31,2271,43383,44488,0
CI296108,1203.6,282.3,60,U,<5L,Tier 2,111.18,2150,2,1200,7,1405.45,1015,No,10271,2767.18,218,43359,44470,0
CI735740,2590.581,873.61,36,F,10L-20L,Tier 1,137.42,608,2.01,1328,7,1635.38,480,No,12034,1298.42,320,44199,44426,1
CI519461,2263.42,812.21,42,M,5L-10L,Tier 1,1431.86,950,3.01,1400,3,680.37,926,Yes,10496,2887.86,1978,43500,44458,0
CI226781,2065.32,1426.32,52,M,10L-20L,Tier 1,2943.1,850,4.01,1200,9,1175.03,801,No,707,4299.1,3680,43411,44476,0
CI817252,3236.56,649.39,52,M,10L-20L,Tier 2,1263.21,850,2.01,1050,8,757.12,584,Yes,6117,2619.21,311,43881,44433,0
CI380310,1891.76,1252.76,54,F,>20L,Tier 2,2279.95,300,2,1150,3,960.72,823,No,8116,3085.95,726,44250,44466,0
CI344949,3809.58,1056.86,48,M,5L-10L,Tier 3,118.1,950,1.01,3150,10,940.1,1027,No,8878,1574.1,3801,42772,44434,0
CI503325,1512.93,873.93,56,M,<5L,Tier 1,1687.59,750,3.01,1150,1,1612.25,461,No,12458,2943.59,3434,43144,44497,0
CI616538,1290.4,651.4,64,F,<5L,Tier 2,787.45,250,4,1400,5,1739.08,542,No,7014,1543.45,3906,43286,44423,0
CI686338,2128.33,1489.33,57,U,<5L,Tier 1,109.8,400,2.01,1400,3,1126.79,990,Yes,859,1015.8,3744,44071,44424,0
CI950296,3129.88,622.72,28,F,10L-20L,Tier 3,603.6,750,3.01,1050,9,1472.8,430,No,8667,1859.6,2311,42943,44499,0
CI617976,3475.332,933.44,36,M,<5L,Tier 1,749.74,824,3.01,1453,8,1156.1,667,No,9815,2174.74,2688,44181,44465,1
CI290322,5732.92,1273.48,38,F,>20L,Tier 2,3335.67,450,1.01,1150,9,661.85,452,No,11004,4291.67,289,43688,44492,0
CI186265,3050.4,803.8,47,F,<5L,Tier 3,1436.12,850,1,1350,3,1651.81,618,Yes,8059,2792.12,328,43413,44499,0
CI340573,2745.88,526.72,40,M,<5L,Tier 1,905.34,950,3.01,1100,5,1097.67,725,Yes,10087,2361.34,2288,42955,44440,0
CI839920,2642.82,1001.91,41,M,<5L,Tier 1,206.81,650,2,1100,9,1369.34,640,No,8157,1362.81,3939,43780,44477,0
CI634027,5680.96,1260.49,27,F,<5L,Tier 2,247.55,500,4,1300,9,983.5,845,No,2304,1253.55,3441,43145,44481,0
CI203445,1021.65,127.55,39,F,>20L,Tier 2,2757.81,500,4,1100,5,949.06,507,No,1846,3763.81,1312,44024,44487,0
CI443065,1508.01,869.01,63,F,>20L,Tier 2,1765.5,1750,2,1400,10,1195.89,661,Yes,12217,4021.5,875,44365,44440,0
CI630626,3291.78,884.26,59,M,5L-10L,Tier 2,854.79,100,3.01,1150,2,1658,837,Yes,10088,1460.79,470,42978,44461,0
CI897860,2098.36,1459.36,46,F,5L-10L,Tier 1,2593.09,300,3.01,1100,10,1081.23,558,Yes,12320,3399.09,2291,43121,44438,0
CI307951,1893.24,418.08,42,F,<5L,Tier 2,799.31,950,1.01,1150,5,1366.79,892,Yes,10227,2255.31,992,43061,44463,0
